nome,grupo,afiliacao,anos_presente,n_anos
Márcia Aparecida Andreazzi,Academia,Instituto Cesumar/ICETI,"2021, 2022, 2025, 2026",4
Mônica Nicolau de Castro Mendonça,Academia,UNICV,2025,1
Natalia Cavalini Paganini,Privado,COCAMAR,2025,1
Nathan Bandiera Lopes,Sociedade Civil,Instituto BiodiverCidade,2023,1
Olga Maria Mussnich Polidoro Couto,Público,COPEL,2025,1
Osvaldo Krulli Junior,Público,EMATER/IDR,2023,1
Patrícia Theodoro Santana,Público,IAT,2024,1
Paula Polastri,Academia,Instituto Cesumar,2025,1
Paulino Heitor Mexia,Público,IAM,2025,1
Paulo Henrique Biazon Santos,Público,CMM,"2023, 2024",2
Paulo Roberto Milagres,Público,EMATER/IDR,"2021, 2022, 2023",3
Pedro Henrique dos Santos,Público,SEURBH,"2024, 2025, 2026",3
Raphael Farias Martins,Sociedade Civil,OAB,2024,1
Rayane Monteiro dos Reis Silva,Sociedade Civil,Instituto Cidade Canção,2023,1
Regiane da Silva Santos,Público,SEDUC,2025,1
Roberto Ponce Martins,Público,COPEL,"2021, 2022",2
Rodrigo Camilo,Academia,UEM,"2023, 2024, 2025, 2026",4
Rogério Barbosa de Lima,Sociedade Civil,CRBio,"2021, 2022, 2023, 2024",4
Rogério Penteado de Souza,Privado,ACIM,"2021, 2022",2
Rosa Cripa / Rosa Maria Cripa Moreno,Público,Sec. Mun. de Saúde,"2021, 2022, 2024, 2025, 2026",5
Rosangela Marques de Oliveira,Público,COMDEMA,2026,1
Rosilene Nogueira Gonçalves,Academia,Unifamma,"2021, 2022",2
Rúbia Irma Sales,Público,SELURB,2025,1
Sandra Mara Nepomuceno Cardoso,Privado/Soc. Civil,CODEM → CREA,"2021, 2022, 2023, 2024, 2025",5
Sandra Margarete Brescansin Cantagalli,Privado,FIEP,"2021, 2022, 2023, 2024, 2025",5
Sara Belini de Gois,Sociedade Civil,Instituto Cidade Canção,"2023, 2024, 2025",3
Selma Aparecida Carvalho Avelar,Público,SANEPAR,"2023, 2024, 2025",3
